Username,Total reviews,Location,Date,Content,Rating,Polarity,Subjectivity
D Soro,773 reviews,CA,4 days ago,"North American buyers bewareNorth American buyers bewareThese guys have very very shady marketing/sales tactics.In this day and age, all companies should have geo specific site pages.They boast “free exchanges” on site and at check-out, but when you read the faq fine print (a different page that I discovered after) it only applies to European residents.Shipping is moronic. They give two options, one cheaper, the second DHL. They should only offer DHL as the import/custom fees are astronomical with the base shipping, making the “discounts” just normal priceThe jerseys are decent quality (only reason why it’s not 1 star), but it’s not worth it. After the fees I should have just stuck to ordering Rapha.Oh, their service team will respond to you but they give zero f’s. The responses are essentially “too bad for you.”Date of experience: August 05, 2024",2,-0.05,0.51
tony yallop,698 reviews,AU,"Aug 27, 2024","Soft shell ski jacketI ordered a soft shell ski jacket (Beluga) from here in Australia. It arrived quickly and was trackable all the way. Great quality, design and colour. The L size was a perfect fit for me at 181cm tall and 81kgs although the size guide did suggest XL. Really happy with the whole process. Thumbs up Siroko 👍Date of experience: August 27, 2024",5,0.47,0.59
Jeele,27K reviews,CH,"Aug 27, 2024","Don’t buy with Siroko!Don’t buy with Siroko!! Horrible customer service. Returns and exchanges are made terribly difficult and you have to pay a high amount on fees with their third-party delivery although they claim it‘s free. Worst experience. I never write reviews but this was so bad!Date of experience: August 27, 2024",1,-0.39,0.87
NoUsername,2 reviews,CA,"Aug 8, 2024","BEWARE IN CANADABEWARE IN CANADAHorrible service. I order 430$ worth of items, they were too small. They informed me there was nothing they could do to help me and I had to pay an extra 15$ just for them to generate a return form for me, on top of it I paid 100$ in duties. I wanted to reorder in a different size but their customer service was so unprofessional and cold that I would never want to spend my money here again.Beware, they dont do size echanges and do not prioritize orders outside of europe.Date of experience: August 08, 2024",1,-0.01,0.39
ryan,1 review,GB,"Updated Aug 6, 2024","Good but bad Can't fault the quality of the cycling gear but you can definitely fault the returns/ size change customer service. I was accused of damaging and removing tags thus not being able to get a refund or size change after trying the item on for 5 seconds then putting it back In the bag. They have lost me as a customer over it I will be staying with castelli Date of experience: August 06, 2024",1,0.1,0.48
Lukasz,1 review,PL,"May 29, 2024","No problems with customer serviceI read some negative opinions regarding customer service, so I was a little bit concerned with ordering from Siroko. I ordered two sizes with intention to keep the better fit and return the other one. I had no problem whatsoever - I got stuff quickly (to Poland), had no problem with returning part of the order (one item) and got the refund quickly as well. Maybe the past problems are solved now, so I wanted to provide a positive review for Siroko.Date of experience: May 29, 2024",5,0.1,0.44
Jonatán Kotán,2 reviews,HU,"Jul 27, 2024","A Sunglass that you cant use in the sunI have ordered a k3 california, the third time I worn it I was playing beach volleyball, and some sweat and water touched the lens, and the top layer started dripping off like liquid. It is unusable now, only had it for a month.Wrote and email with attached pictures, they said it is wear and tear, warranty does not cover it, and offered me 8euro credit, which I still havent recived. And they also sent me the how to take care of the glasses instructions, it says ""Do not leave your glasses exposed in areas of intense heat.""So its a sport SUNglass, that cannot handle the sun. Date of experience: July 13, 2024",1,0.17,0.62
Joanna Parrott,4 reviews,GB,"Jul 8, 2024","Still waitingStill waitingOrdered over a week ago, Royal MailTracking still waiting for item to be received and the contact us form does not work. I usually check trust pilot before using a new online store, I did not and now paying the price. First and last time I order from this company Date of experience: July 02, 2024",2,0.03,0.28
Rosario Avveduto,1 review,AT,"Nov 29, 2023","Top Quality/Price Ratio; Will Buy AgainVery nice clothes (lightweight, technical, and large selection of colors/patterns); also good customer experience on the site; finally, top quality/price ratio. Everything fits well and the size conversion table is very clear and helped me get the exact size I needed. Ordered a total of 8 items over a few months, everything has worked as intended.Date of experience: November 29, 2023",5,0.27,0.47
Norb Ert,2 reviews,LU,"Nov 20, 2023","I was slightly skeptical about this…I was slightly skeptical about this brand about a year ago, I preferred other, more expensive ones (Maap, L passione), but recently I became convinced and ordered 2 T-shirts and a baselayer and I must admit that it has been a long time since any company surprised me as positively as Siroko. Great quality for the price and free exchange (the baselayer was too small). Can you ask for better?Date of experience: November 06, 2023",5,0.01,0.55
Zdenek Zich,19 reviews,CZ,"Jul 5, 2023","I´m a customer from Czechia and I must…I´m a customer from Czechia and I must say, the stuff from Siroko is absouloutely amazing. Last week I bought SRX pro dirty Kanza, SRX PRO stage, vest V1 Foraker, cycling short Mortirolo and socks Gavia and I have another stuff on the way. I really like this stuff at all, because the quality is amazing, material is perfect and everything fit well and for sure, the price is great. Thanks to Siroko Team for 10% discount and for amazaing delivery time.I defenitely recommend to everyone!Date of experience: July 05, 2023",5,0.34,0.58
